path	strict_decode	format	core_spec	total	sort	bvar	const	app	lam	pi	let
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/forbidden-axiom-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	1	1	0	0	0	0	0	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/forbidden-axiom-v0.3.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1	1	0	0	0	0	0	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/imported-indexed-iota-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	29	1	3	6	13	6	0	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/imported-mutual-iota-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	44	0	1	12	22	9	0	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/indexed-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	93	3	7	9	40	0	34	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/invalid-target-v0.3.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	8	1	2	1	0	2	2	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/legacy-empty-v0.1.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	0	0	0	0	0	0	0	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/mutual-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	66	1	6	8	22	0	29	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/nested-all-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	109	2	6	10	44	0	47	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/nested-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	58	2	6	5	21	0	24	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/opaque-alias-chain-v0.3.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	9	1	2	2	0	2	2	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/opaque-direct-v0.3.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	10	0	0	5	5	0	0	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/stale-implementation-hash-v0.3.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	8	1	2	1	0	2	2	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/unchecked-consumer-pinned-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	6	1	2	1	0	0	2	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/unchecked-consumer-unpinned-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	6	1	2	1	0	0	2	0
npa-core/checkers/npa-checker-ext/test/fixtures/conformance/unchecked-provider-bad-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	7	1	2	0	0	2	2	0
npa-core/testdata/certificate-structural-history/mathlib-algebra-group-basic.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	1552	3	14	22	1021	252	240	0
npa-core/testdata/certificate-structural-history/mathlib-algebra-group-image.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	336	3	20	10	169	65	69	0
npa-core/testdata/certificate-structural-history/mathlib-algebra-group-subgroup-order.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	262	2	7	8	119	63	63	0
npa-core/testdata/certificate-structural-history/mathlib-algebra-group-subgroup.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	1701	2	23	36	954	334	352	0
npa-core/testdata/certificate-structural-history/mathlib-algebra-ring-basic.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	318	2	35	1	170	13	97	0
npa-core/testdata/certificate-structural-history/mathlib-logic-eq-reasoning.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	410	4	12	11	202	102	79	0
npa-core/testdata/certificates/security/inductive-constructor-universe-bound-v0.1.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	31	2	3	4	8	5	9	0
npa-core/testdata/certificates/security/mutual-inductive-constructor-universe-bound-v0.2.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	30	2	5	4	5	0	14	0
npa-core/testdata/package/npa-mathlib-downstream/Downstream/MathlibBasic/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	10	1	2	1	2	2	2	0
npa-core/testdata/package/npa-mathlib-downstream/vendor/npa-mathlib/Mathlib/Logic/Basic/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	185	2	7	0	8	83	85	0
npa-core/testdata/package/npa-mathlib-seed-downstream/Downstream/SeedBasic/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	10	1	2	1	2	2	2	0
npa-core/testdata/package/npa-mathlib-seed-downstream/vendor/npa-mathlib-seed/Proofs/Ai/Basic/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	185	2	7	0	8	83	85	0
npa-core/testdata/package/npa-mathlib-seed/Proofs/Ai/Basic/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	185	2	7	0	8	83	85	0
npa-core/testdata/package/npa-mathlib-seed/Proofs/Ai/Eq/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	161	5	7	13	51	39	46	0
