helper	baseline_line	enclosing_encoder_or_use	owning_identity	disposition	rationale
encode_goal_to	2039	advanced_ai_goal_canonical_bytes	npa.advanced-ai.goal.v1	bump_to_v2	public_canonical_goal_bytes_inline_local_declarations_and_target_expression
encode_expr_to	2329	advanced_ai_smt_nat_to_int_side_condition_canonical_bytes	npa.advanced-ai.smt.nat_to_int_side_condition.v1	bump_to_v2	inline_source_core_expression
encode_expr_to	6976	advanced_ai_expr_canonical_bytes	internal_only	unrelated	comparison_deduplication_and_obligation_keys_are_not_persisted_under_an_independent_domain
encode_expr_to	10081	encode_success_payload_to.universe_repair	npa.advanced-ai.validation_result.v1	bump_to_v2	inline_repaired_expression
encode_expr_to	10086	encode_success_payload_to.typeclass_resolution	npa.advanced-ai.validation_result.v1	bump_to_v2	inline_proof_expression
encode_expr_to	10090	encode_success_payload_to.smt_certificate	npa.advanced-ai.validation_result.v1	bump_to_v2	inline_final_proof_expression
encode_expr_to	10295	encode_inductive_family_to.constructor_type	npa.advanced-ai.candidate.v1	bump_to_v2	candidate_envelope_inlines_constructor_type
encode_expr_to	10303	encode_telescope_to.binder_type	npa.advanced-ai.candidate.v1	bump_to_v2	candidate_envelope_inlines_telescope_type
encode_goal_to	10311	encode_smt_candidate_to	npa.advanced-ai.candidate.v1	bump_to_v2	candidate_envelope_inlines_goal
encode_expr_to	10442	encode_smt_command_payload_to.context_assumption	npa.advanced-ai.smt.problem.v1	bump_to_v2	smt_problem_inlines_source_core_expression
encode_expr_to	10450	encode_smt_command_payload_to.target_assertion	npa.advanced-ai.smt.problem.v1	bump_to_v2	smt_problem_inlines_source_core_expression
encode_expr_to	10617	encode_smt_conclusion_encoding_to	npa.advanced-ai.smt.proof_payload.v1	bump_to_v2	proof_payload_inlines_conclusion_core_expression
encode_expr_to	10631	encode_smt_reconstruction_plan_to.final_proof	npa.advanced-ai.smt.reconstruction_plan.v1	bump_to_v2	reconstruction_plan_inlines_final_proof
encode_expr_to	10651	encode_smt_reconstruction_step_to.conclusion	npa.advanced-ai.smt.reconstruction_plan.v1	bump_to_v2	reconstruction_step_inlines_conclusion
encode_expr_to	10652	encode_smt_reconstruction_step_to.proof	npa.advanced-ai.smt.reconstruction_plan.v1	bump_to_v2	reconstruction_step_inlines_proof
encode_expr_to	10702	encode_smt_local_bookkeeping_rule_to.introduce_theory_lemma	npa.advanced-ai.smt.reconstruction_plan.v1	bump_to_v2	reconstruction_rule_inlines_term_arguments
encode_expr_to	10718	encode_smt_local_bookkeeping_rule_to.compose_proof	npa.advanced-ai.smt.reconstruction_plan.v1	bump_to_v2	reconstruction_rule_inlines_term_arguments
encode_expr_to	10741	advanced_ai_smt_command_id_source_key	npa.advanced-ai.smt.command_id.v1	bump_to_v2	command_identity_inlines_context_assumption_expression
encode_goal_to	10753	encode_typeclass_resolution_plan_to	npa.advanced-ai.candidate.v1	bump_to_v2	candidate_envelope_inlines_typeclass_goal
encode_goal_to	10799	encode_theorem_graph_query_to	npa.advanced-ai.candidate.v1	bump_to_v2	candidate_envelope_inlines_query_goal
encode_expr_to	10965	encode_universe_repair_candidate_to	npa.advanced-ai.candidate.v1	bump_to_v2	candidate_envelope_inlines_target_expression
encode_expr_to	10987	encode_universe_repair_candidate_outer_to	npa.advanced-ai.candidate.v1	bump_to_v2	outer_candidate_envelope_inlines_target_expression
encode_goal_to	11001	encode_option_goal_to	npa.advanced-ai.candidate.v1	bump_to_v2	optional_goal_is_inline_when_present
encode_machine_local_decl_to	11018	encode_goal_to.local_context	all_encode_goal_to_owners	inherits_owner	local_value_presence_byte_and_inline_value_are_removed
encode_expr_to	11020	encode_goal_to.target	all_encode_goal_to_owners	inherits_owner	goal_target_is_inline
encode_expr_to	11026	encode_machine_local_decl_to.type	all_encode_goal_to_owners	inherits_owner	local_type_is_inline
encode_expr_to	11030	encode_machine_local_decl_to.value	all_encode_goal_to_owners	removed_call	local_value_branch_is_deleted
encode_expr_to	11480	encode_expr_to.app_function	enclosing_owner	recursive	recursive_six_form_encoding
encode_expr_to	11481	encode_expr_to.app_argument	enclosing_owner	recursive	recursive_six_form_encoding
encode_expr_to	11485	encode_expr_to.lambda_type	enclosing_owner	recursive	recursive_six_form_encoding
encode_expr_to	11486	encode_expr_to.lambda_body	enclosing_owner	recursive	recursive_six_form_encoding
encode_expr_to	11490	encode_expr_to.pi_type	enclosing_owner	recursive	recursive_six_form_encoding
encode_expr_to	11491	encode_expr_to.pi_body	enclosing_owner	recursive	recursive_six_form_encoding
encode_expr_to	11497	encode_expr_to.let_type	enclosing_owner	removed_call	retired_let_branch_is_deleted
encode_expr_to	11498	encode_expr_to.let_value	enclosing_owner	removed_call	retired_let_branch_is_deleted
encode_expr_to	11499	encode_expr_to.let_body	enclosing_owner	removed_call	retired_let_branch_is_deleted
encode_goal_to	17412	test_payload_builder.first_goal	test_only	inherits_owner	test_exercises_same_candidate_goal_bytes
encode_goal_to	17453	test_payload_builder.second_goal	test_only	inherits_owner	test_exercises_same_candidate_goal_bytes
