identity	disposition	target_identity	rationale	first_path	first_line	occurrence_count
NPA-AXIOM-POLICY-CANONICAL-BYTES-0.1	unrelated	-	axiom_policy_payload_has_no_term_local_context_diagnostic_or_reduction_vocabulary	npa-core/crates/npa-cert/src/hash.rs	60	1
NPA-AXIOM-POLICY-HASH-0.1	unrelated	-	axiom_policy_payload_has_no_term_local_context_diagnostic_or_reduction_vocabulary	npa-core/crates/npa-cert/src/hash.rs	83	1
NPA-AXIOM-REPORT-0.1	retain-with-domain-separated-child	NPA-AXIOM-REPORT-0.1	unchanged_public_layout_commits_current_term_interface_or_module_hash_children	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	28	15
NPA-BUILTIN-INTERFACE-0.1	unrelated	-	payload_is_a_fixed_builtin_name_tag_and_has_no_term_or_local_context_shape	npa-core/checkers/npa-checker-ext/src/ext_env.ml	225	3
NPA-CERT-0.1	bump	NPA-CERT-0.4.0	single_current_header_format_old_decoder_removed	npa-core/checkers/npa-checker-ext/src/ext_cert.ml	253	8
NPA-CERT-0.1.2	bump	NPA-CERT-0.4.0	single_current_header_format_old_decoder_removed	npa-core/checkers/npa-checker-ext/src/ext_cert.ml	249	7
NPA-CERT-0.2.0	bump	NPA-CERT-0.4.0	single_current_header_format_old_decoder_removed	npa-core/checkers/npa-checker-ext/src/ext_cert.ml	245	49
NPA-CERT-0.3.0	bump	NPA-CERT-0.4.0	single_current_header_format_old_decoder_removed	npa-core/checkers/npa-checker-ext/scripts/differential.sh	145	62
NPA-CERT-9.9	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/independent_checker.rs	29676	1
NPA-CERT-9.9.9	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/independent_checker.rs	29674	5
NPA-CORE-EXPR-0.1	retain-with-domain-separated-child	NPA-CORE-EXPR-0.1	six_surviving_payloads_are_byte_identical_and_current_pair_or_parser_makes_tag_6_unreachable	npa-core/crates/npa-cert/src/hash.rs	20	1
NPA-Core-0.1	bump	NPA-Core-0.4.0	single_current_header_core_old_decoder_removed	npa-core/checkers/npa-checker-ext/src/ext_cert.ml	255	6
NPA-Core-0.1.2	bump	NPA-Core-0.4.0	single_current_header_core_old_decoder_removed	npa-core/checkers/npa-checker-ext/src/ext_cert.ml	251	6
NPA-Core-0.2.0	bump	NPA-Core-0.4.0	single_current_header_core_old_decoder_removed	npa-core/checkers/npa-checker-ext/src/ext_cert.ml	247	46
NPA-Core-0.3.0	bump	NPA-Core-0.4.0	single_current_header_core_old_decoder_removed	npa-core/checkers/npa-checker-ext/scripts/differential.sh	146	53
NPA-Core-9.9.9	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/tests.rs	3346	1
NPA-DECL-CERT-0.1	bump	NPA-DECL-CERT-0.4.0	declaration_certificate_semantic_epoch_and_header_pair_change	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	9	11
NPA-DECL-CERT-0.3.0	bump	NPA-DECL-CERT-0.4.0	declaration_certificate_semantic_epoch_and_header_pair_change	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	7	6
NPA-DECL-IFACE-0.1	retain-with-domain-separated-child	NPA-DECL-IFACE-0.1	unchanged_public_layout_commits_current_term_interface_or_module_hash_children	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	5	9
NPA-DECLARATION-CLOSURE-EDGES-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/declaration_closure.rs	18	1
NPA-DECLARATION-CLOSURE-PROJECTION-LEVEL-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/declaration_closure.rs	20	1
NPA-DECLARATION-CLOSURE-PROJECTION-TERM-v1	bump	NPA-DECLARATION-CLOSURE-PROJECTION-TERM-v2	inline_projection_term_grammar_loses_tag_6	npa-core/crates/npa-cert/src/declaration_closure.rs	21	1
NPA-DECLARATION-CLOSURE-PROJECTION-v1	bump	NPA-DECLARATION-CLOSURE-PROJECTION-v2	embeds_changed_projection_term_hashes_in_canonical_bytes	npa-core/crates/npa-cert/src/declaration_closure.rs	19	1
NPA-DECLARATION-CLOSURE-v1	retain-with-domain-separated-child	NPA-DECLARATION-CLOSURE-v1	unchanged_layout_commits_new_declaration_and_module_certificate_hashes	npa-core/crates/npa-cert/src/declaration_closure.rs	17	1
NPA-FRONTEND-MACHINE-TERM-CONTEXT-0.1	bump	NPA-FRONTEND-MACHINE-TERM-CONTEXT-0.2	inline_core_term_grammar_loses_let	npa-core/crates/npa-frontend/src/elaborator.rs	2206	1
NPA-GEN-COMP-RULE-0.1	unrelated	-	payload_contains_only_recursor_presence_minor_start_and_major_index	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	15	4
NPA-GEN-REC-SIG-0.1	retain-with-domain-separated-child	NPA-GEN-REC-SIG-0.1	unchanged_recursor_signature_layout_commits_a_current_six_form_term_hash	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	13	4
NPA-HUMAN-DECLARATION-EXTRACTION-v1	retain-with-domain-separated-child	NPA-HUMAN-DECLARATION-EXTRACTION-v1	unchanged_source_projection_is_untrusted_and_reparsed_under_human_authoring_abi_v2	npa-core/crates/npa-frontend/src/human_extraction.rs	18	1
NPA-KERNEL-CORE-EXPR-0.1	retain-with-domain-separated-child	NPA-KERNEL-CORE-EXPR-0.1	six_surviving_payloads_are_byte_identical_and_current_pair_or_parser_makes_tag_6_unreachable	npa-core/crates/npa-frontend/src/elaborator.rs	2090	3
NPA-L2-ADV-TEST-1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/tests/package_l2_acceptance.rs	286	2
