limit_kind	limit	maximum	module	certificate_hash	path
certificate_bytes	67108864	1579206	Proofs.Ai.EllipticCurve.WeierstrassModel.DeltaChangeWeightTwelve	56e4e6212e5cb3fcf1119970ac91b77dc5b9ac12aadee3f76e253de33096a69b	npa-project-iut/proofs/Proofs/Ai/EllipticCurve/WeierstrassModel/DeltaChangeWeightTwelve/certificate.npcert
certificate_expanded_nodes	16777216	817745	Proofs.Ai.EllipticCurve.WeierstrassModel.DeltaChangeWeightTwelve	6e60d55c13a0ce43fd5941baddac84eb2d86e4f06065d5860171c479bbe41d4b	npa-project-fermat-last-theorem/proofs/Proofs/Ai/EllipticCurve/WeierstrassModel/DeltaChangeWeightTwelve/certificate.npcert
closure_expanded_nodes	67108864	21155659	Proofs.Ai.NumberTheory.FermatLastTheorem.SelectedPositiveArithmeticContradictionLawStdNatExponentFromOrderedFieldGlobalRawEliminationProvider	31040eb661cc10ac7c6355720ba2b816e767c8047482433b04d9fcdd9c057f04	npa-project-fermat-last-theorem/proofs/Proofs/Ai/NumberTheory/FermatLastTheorem/SelectedPositiveArithmeticContradictionLawStdNatExponentFromOrderedFieldGlobalRawEliminationProvider/certificate.npcert
closure_modules	4097	524	Proofs.Ai.Iut.Foundation.ArithmeticGeometry.ThreePointLambdaLineLegendrePrimeChartProjectiveCauchyCompletionExtraction	48fa876cbbbf6aa47d5154a613b5efcd5e7b31c0c24fded8c737bf64f3e4463c	npa-project-iut/proofs/Proofs/Ai/Iut/Foundation/ArithmeticGeometry/ThreePointLambdaLineLegendrePrimeChartProjectiveCauchyCompletionExtraction/certificate.npcert
declarations	262144	1649	Proofs.Ai.EllipticCurve.WeierstrassModel.DeltaChangeWeightTwelve	6e60d55c13a0ce43fd5941baddac84eb2d86e4f06065d5860171c479bbe41d4b	npa-project-fermat-last-theorem/proofs/Proofs/Ai/EllipticCurve/WeierstrassModel/DeltaChangeWeightTwelve/certificate.npcert
exports	1048576	1649	Proofs.Ai.EllipticCurve.WeierstrassModel.DeltaChangeWeightTwelve	6e60d55c13a0ce43fd5941baddac84eb2d86e4f06065d5860171c479bbe41d4b	npa-project-fermat-last-theorem/proofs/Proofs/Ai/EllipticCurve/WeierstrassModel/DeltaChangeWeightTwelve/certificate.npcert
imports	4096	456	Proofs.Ai.MathematicalPhysics.YangMillsProofObligations	7c9e7ebd529323fc1e6ffb338a05b0d865092a6e5f9d60eebd31e0b22c30c4a7	npa-project-yang-mills/proofs/Proofs/Ai/MathematicalPhysics/YangMillsProofObligations/certificate.npcert
level_table_nodes	262144	28	Proofs.Ai.CommutativeAlgebra.SetoidArtinRees	fbaa25fe42f2d36cd97ec866ff74a5c2325b5ca9bec529925aba8b369ba4caeb	npa-project-fermat-last-theorem/proofs/Proofs/Ai/CommutativeAlgebra/SetoidArtinRees/certificate.npcert
name_table_entries	1048576	1745	Proofs.Ai.EllipticCurve.WeierstrassModel.DeltaChangeWeightTwelve	6e60d55c13a0ce43fd5941baddac84eb2d86e4f06065d5860171c479bbe41d4b	npa-project-fermat-last-theorem/proofs/Proofs/Ai/EllipticCurve/WeierstrassModel/DeltaChangeWeightTwelve/certificate.npcert
nested_vector_entries	262144	113	Collatz.Induction.ResidualModFourThousandNinetySixPointwiseProgress	1d2f706b1df8aa974d6f691eff10e8cce6ced1245853a6cfbd8554f046cf37a4	npa-project-collatz/proofs/Proofs/Ai/Collatz/Induction/ResidualModFourThousandNinetySixPointwiseProgress/certificate.npcert
root_expanded_nodes	1048576	36238	Proofs.Ai.Analysis.PDE.NavierStokesPrerequisites.TerminalHandoffClosure	5771b2ecf2b906bacc815584dd707ca5b4fc172529ab7f3d4b3817b0835e3fb1	npa-project-navier-stokes/proofs/Proofs/Ai/Analysis/PDE/NavierStokesPrerequisites/TerminalHandoffClosure/certificate.npcert
structural_depth	8192	4017	Proofs.Ai.Analysis.PDE.NavierStokesPrerequisites.TerminalHandoffFinal	04c8dc2de577ad7e71947c4215df585412b472176cbb23947c208dd790d17270	npa-project-navier-stokes/proofs/Proofs/Ai/Analysis/PDE/NavierStokesPrerequisites/TerminalHandoffFinal/certificate.npcert
term_table_nodes	4194304	177387	Proofs.Ai.Analysis.PDE.NavierStokesPrerequisites.ReleaseReadiness	def3014e43585a27de4c27788c1349c888f82821313c6d4408683e8b49a39000	npa-project-navier-stokes/proofs/Proofs/Ai/Analysis/PDE/NavierStokesPrerequisites/ReleaseReadiness/certificate.npcert
