case_id	class	template	format	core_spec	mutation	producer_fast_or_frontend_result	rust_ref_result	ocaml_result	hash_or_boundary
header_f4_c4	header	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	none	checked	checked	checked	continue_after_exact_pair
header_f4_c3	header	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.3.0	replace_header_only	unsupported_format	core_spec_mismatch	core_spec_mismatch	reject_before_module
header_f4_c2	header	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.2.0	replace_header_only	unsupported_format	core_spec_mismatch	core_spec_mismatch	reject_before_module
header_f4_c1_2	header	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.1.2	replace_header_only	unsupported_format	core_spec_mismatch	core_spec_mismatch	reject_before_module
header_f4_c1	header	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.1	replace_header_only	unsupported_format	core_spec_mismatch	core_spec_mismatch	reject_before_module
header_f3_c4	header	minimal_six_form_module	NPA-CERT-0.3.0	NPA-Core-0.4.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f3_c3	header	minimal_six_form_module	NPA-CERT-0.3.0	NPA-Core-0.3.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f3_c2	header	minimal_six_form_module	NPA-CERT-0.3.0	NPA-Core-0.2.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f3_c1_2	header	minimal_six_form_module	NPA-CERT-0.3.0	NPA-Core-0.1.2	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f3_c1	header	minimal_six_form_module	NPA-CERT-0.3.0	NPA-Core-0.1	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f2_c4	header	minimal_six_form_module	NPA-CERT-0.2.0	NPA-Core-0.4.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f2_c3	header	minimal_six_form_module	NPA-CERT-0.2.0	NPA-Core-0.3.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f2_c2	header	minimal_six_form_module	NPA-CERT-0.2.0	NPA-Core-0.2.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f2_c1_2	header	minimal_six_form_module	NPA-CERT-0.2.0	NPA-Core-0.1.2	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f2_c1	header	minimal_six_form_module	NPA-CERT-0.2.0	NPA-Core-0.1	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_2_c4	header	minimal_six_form_module	NPA-CERT-0.1.2	NPA-Core-0.4.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_2_c3	header	minimal_six_form_module	NPA-CERT-0.1.2	NPA-Core-0.3.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_2_c2	header	minimal_six_form_module	NPA-CERT-0.1.2	NPA-Core-0.2.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_2_c1_2	header	minimal_six_form_module	NPA-CERT-0.1.2	NPA-Core-0.1.2	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_2_c1	header	minimal_six_form_module	NPA-CERT-0.1.2	NPA-Core-0.1	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_c4	header	minimal_six_form_module	NPA-CERT-0.1	NPA-Core-0.4.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_c3	header	minimal_six_form_module	NPA-CERT-0.1	NPA-Core-0.3.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_c2	header	minimal_six_form_module	NPA-CERT-0.1	NPA-Core-0.2.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_c1_2	header	minimal_six_form_module	NPA-CERT-0.1	NPA-Core-0.1.2	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_f1_c1	header	minimal_six_form_module	NPA-CERT-0.1	NPA-Core-0.1	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_unknown_format	header	minimal_six_form_module	NPA-CERT-9.9.9	NPA-Core-0.4.0	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
header_unknown_core	header	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-9.9.9	replace_header_only	unsupported_format	core_spec_mismatch	core_spec_mismatch	reject_before_module
header_unknown_both	header	minimal_six_form_module	NPA-CERT-9.9.9	NPA-Core-9.9.9	replace_header_only	unsupported_format	format_mismatch	format_mismatch	reject_before_core_semantics
term_sort	positive_term	node_codec_fixture	NPA-CERT-0.4.0	NPA-Core-0.4.0	assert_node_hex:0000	checked	checked	checked	NPA-TERM-0.1_same_as_v3_sort
term_bvar	positive_term	node_codec_fixture	NPA-CERT-0.4.0	NPA-Core-0.4.0	assert_node_hex:0100	checked	checked	checked	NPA-TERM-0.1_same_as_v3_bvar
term_const	positive_term	node_codec_fixture	NPA-CERT-0.4.0	NPA-Core-0.4.0	assert_node_hex:02010000	checked	checked	checked	NPA-TERM-0.1_same_as_v3_const
term_app	positive_term	node_codec_fixture	NPA-CERT-0.4.0	NPA-Core-0.4.0	assert_node_hex:030001	checked	checked	checked	NPA-TERM-0.1_same_as_v3_app
term_lam	positive_term	node_codec_fixture	NPA-CERT-0.4.0	NPA-Core-0.4.0	assert_node_hex:040001	checked	checked	checked	NPA-TERM-0.1_same_as_v3_lam
term_pi	positive_term	node_codec_fixture	NPA-CERT-0.4.0	NPA-Core-0.4.0	assert_node_hex:050001	checked	checked	checked	NPA-TERM-0.1_same_as_v3_pi
reduction_beta	positive_semantics	reduction_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	select:beta	checked	checked	checked	beta_steps_positive_zeta_absent
reduction_delta	positive_semantics	reduction_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	select:delta	checked	checked	checked	delta_steps_positive_zeta_absent
reduction_iota	positive_semantics	reduction_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	select:iota	checked	checked	checked	iota_steps_positive_zeta_absent
deep_binders	positive_structure	deep_binders_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	in_limit_iterative_chain	checked	checked	checked	no_host_stack_recursion
shared_dag	positive_structure	shared_dag_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	multiple_parents_reuse_nodes	checked	checked	checked	unique_and_expanded_charges_match_spec
retired_06_reachable	retired_tag	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_reachable_node_hex:06000000	unsupported_encoding:0x06	unknown_tag:0x06	unknown_tag:0x06	reject_at_tag_child_reads:0_allocations:0
retired_06_unused	retired_tag	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	append_unused_node_hex:06000000	unsupported_encoding:0x06	unknown_tag:0x06	unknown_tag:0x06	reject_before_reachability_child_reads:0_allocations:0
retired_06_tag_only	retired_tag	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_reachable_node_hex:06	unsupported_encoding:0x06	unknown_tag:0x06	unknown_tag:0x06	not_unexpected_eof_child_reads:0_allocations:0
retired_06_one_child	retired_tag	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_reachable_node_hex:0600	unsupported_encoding:0x06	unknown_tag:0x06	unknown_tag:0x06	not_unexpected_eof_child_reads:0_allocations:0
retired_06_two_children	retired_tag	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_reachable_node_hex:060000	unsupported_encoding:0x06	unknown_tag:0x06	unknown_tag:0x06	not_unexpected_eof_child_reads:0_allocations:0
retired_06_oversized_tail	retired_tag	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_reachable_node_hex:06ffffffffffffffffff01	unsupported_encoding:0x06	unknown_tag:0x06	unknown_tag:0x06	not_uvar_overflow_child_reads:0_allocations:0
hash_level_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_same_level_payload	checked	checked	checked	NPA-LEVEL-0.1_equal_to_v3
hash_term_six_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_all_six_term_payloads	checked	checked	checked	NPA-TERM-0.1_all_equal_to_v3
