generator_schema	profile	descriptor_sha256	logical_identity_sha256	artifact_tree_sha256	module_count	import_edge_count	declaration_count	name_table_entry_count	level_table_node_count	term_table_node_count	tree_file_count	certificate_bytes
npa.performance.fixture-generator.v1	representative-1000-certificates	f0dc56b017749d1cda4238483250c221c96b428dec9fb254752eb90370dabd18	f35b4ec8580e77dae8a7006d8fc3e2473e69e07e347fac11fd99d4ba84dfc72c	a2470f34daadf3ff9b8260321f236dd93603fe301f6886945bf5fd5b65d554f5	1000	975	14975	18925	1000	8975	1002	49283072
npa.performance.fixture-generator.v1	synthetic-1kib	7c53a4a6b278b7974a761c3d53abe3e59e989f4bd975afcc70a8ff2a44361e57	d3dc491d069a9b9d3009e0b0c60b8017b21cd748343611034443569384af81c9	b76d4d56dcb884b4f1134bf27ebcceb76ff1a35e732ac411feba7acd6aa4a5b1	1	0	3	5	1	8	3	1024
npa.performance.fixture-generator.v1	synthetic-1mib	c1a981ab2f155378f0adb9d24a0546bc3c14a650cdc0abda5cbcec3c052d1b80	01f79b8d8f989e98bd35e7d40a2ef903f151132e356605f2d96f0db16cf89e4c	3e3fa9387ab6ce3440382e77058ce0c7445ade0237b36e188d4f6f0352c2197f	1	0	244	246	1	8	3	1048576
npa.performance.fixture-generator.v1	synthetic-near-limit	2651399c5ceb0b19348e5c965ea5fe3fa73a1bdda923fe0f36b5380afac6c658	ccafefe146f9d9be10e0b06832b4de9f5c8ebbf1f0f9050a9b2304f02f508843	88caabe1696cb39c4510a9835bd512068c25e290373a0f5441353e23704b1f64	1	0	15494	15496	1	8	3	67108000
npa.performance.fixture-generator.v1	payload-1mib	c56803eac3a6b071462791b096e4e32fd603506d01a8a86e8765874008c67400	061877ea3385b01a086a77ce2e3c01e278e7473639bbad035287f1193b3a5e97	21c9eb1efacf63dc790a766f42c575bd1020023a4d25cf426149d8fb09d13c33	1	0	244	246	1	8	3	1048576
npa.performance.fixture-generator.v1	payload-16mib	690e56bfc79ff145831e21b795401b2d44fa75dadd83060f769bb09f385f0d7b	bf3ff1123148d60efbfab2f9f921a93fa870f0bddbef3624e208eff871a76a05	9def45537d73ef76c8a75451bb67a2074583b8fc94ec0311cf93b7115266510b	1	0	3875	3877	1	8	3	16777216
npa.performance.fixture-generator.v1	payload-near-limit	0d89c45fdb99f379593d60706c1b07414b71f5229ce0e62e9dab9d3b62dd1d1e	f1ec0ec14ef242a844e6c73a73f0b247328d1e9e6bffe4dcd86ba5464abe1d6f	01fa5288e63dae7983405bc505f91c7f67d851681b5666ba8a54c9e82035acd9	1	0	15494	15496	1	8	3	67108000
npa.performance.fixture-generator.v1	payload-heavy-multi-module	83a9160ee5ae17e9d91acc4849ff62cf313a84b5e7078ae178b5832aefedd227	3958f57578dc60c91abf3cb4185d82ca4a01084e5748117b98edddedea732b25	4c4b6dd03bd46f615a4f1a6443055fe33f933eb883f58bd32e6327e38e585bc2	64	112	15728	16080	64	624	66	67108864
npa.performance.fixture-generator.v1	session-index	fde8bc0b06f8b61862a9798819e6c75681dfee4e88867e930c4103b9875e6406	755b7072dda4f6d3b3750285b3b5e27b20505ce4c44e238911806e04a1f5b757	dc8d08fe37c0cd4e3fac16fe2fe2d161426891d229626291eb300d54cb190e0c	1024	0	3072	5120	1024	8192	1026	1048576
npa.performance.fixture-generator.v1	small-certificate	5459166a07b911692b0a8ff34d54e5c0cd3bd3ae842b7b9ed55b86440e259298	15ee9ffb574aaa925ec2ae054397af5b413a87984ee9f07360ec8a3405930b9c	db4061119c8672ca1870059ed4fad2738f166027b74955d28cc10f2e6fc90560	1	0	3	5	1	8	3	1024
